seg,power,vo2,cad,la,rf,hr,sat
1,0,313.46,0,0.749,18.445,52.5,99
2,0,214.15,0,0.748,17.962,53.0,99
3,0,114.84,0,0.747,17.48,53.5,99
4,0,15.532,0,0.746,16.997,54.0,99
5,0,247.58,0,0.745,16.748,54.0,99
6,0,479.64,0,0.744,16.499,54.0,99
7,0,711.69,0,0.743,16.249,54.0,99
8,0,943.74,0,0.742,16,54.0,99
9,0,866.38,0,0.741,14.865,55.1,99
10,0,789.02,0,0.74,13.73,56.3,99
11,0,711.66,0,0.739,12.595,57.4,99
12,0,634.3,0,0.738,11.46,58.5,99
13,0,556.93,0,0.737,10.325,59.6,99
14,0,479.57,0,0.736,9.1903,60.8,99
15,0,402.21,0,0.735,8.0554,61.9,99
16,0,324.85,0,0.734,6.9204,63.0,99
17,0,314.68,0,0.733,7.5061,61.8,99
18,0,304.51,0,0.732,8.0919,60.7,99
19,0,294.35,0,0.731,8.6776,59.5,99
20,0,284.18,0,0.73,9.2633,58.3,99
21,0,274.01,0,0.729,9.8491,57.2,99
22,0,263.85,0,0.728,10.435,56.0,98
23,0,276.59,0,0.727,10.638,56.4,98
24,0,289.33,0,0.726,10.841,56.8,98
25,0,302.08,0,0.725,11.044,57.2,98
26,0,314.82,0,0.724,11.247,57.6,98
27,0,327.56,0,0.723,11.45,58.0,98
28,0,323.68,0,0.722,11.9,57.8,98
29,0,319.79,0,0.721,12.35,57.6,98
30,0,315.9,0,0.72,12.799,57.4,98
31,0,312.01,0,0.719,13.249,57.2,98
32,0,308.12,0,0.718,13.699,57.0,98
33,0,312.59,0,0.717,13.779,56.8,98
34,0,317.06,0,0.716,13.859,56.5,99
35,0,321.54,0,0.715,13.939,56.3,99
36,0,326.01,0,0.714,14.019,56.0,99
37,0,362.31,0,0.713,14.4,56.0,99
38,0,398.61,0,0.712,14.781,56.0,99
39,0,434.91,0,0.711,15.163,56.0,99
40,0,471.21,0,0.71,15.544,56.0,99
41,0,473.73,0,0.709,16.028,56.3,99
42,0,476.25,0,0.708,16.513,56.7,99
43,0,478.77,0,0.707,16.997,57.0,99
44,0,442.74,0,0.706,16.634,57.0,99
45,0,406.7,0,0.705,16.271,57.0,99
46,0,370.67,0,0.704,15.907,57.0,99
47,0,334.63,0,0.703,15.544,57.0,99
48,0,398.03,0,0.702,16.16,56.7,99
49,0,461.42,0,0.701,16.776,56.3,99
50,0,524.82,0,0.7,17.391,56.0,99
51,0,458.62,0,0.699,16.659,56.4,99
52,0,392.41,0,0.698,15.927,56.8,99
53,0,326.21,0,0.697,15.195,57.2,99
54,0,260.01,0,0.696,14.462,57.6,99
55,0,193.8,0,0.695,13.73,58.0,99
56,0,185.26,0,0.694,14.02,57.0,99
57,0,176.71,0,0.693,14.309,56.0,99
58,0,168.16,0,0.692,14.599,55.0,99
59,0,159.61,0,0.691,14.888,54.0,99
60,0,170.16,0,0.69,15.209,53.3,99
61,0,180.71,0,0.689,15.53,52.5,99
