id;HRV;STATUS;SLEEP;SLEERATE;HRVMEAN;BBLC;Garlow;Gar;hrv4
206;30;;NEGATIVE_LONG_BUT_RESTLESS;74;0;23;70;57;83
206;30;;NEGATIVE_LONG_BUT_RESTLESS;74;0;23;70;57;83
206;30;;NEGATIVE_LONG_BUT_RESTLESS;74;0;23;70;57;83
206;27;;NEGATIVE_LONG_BUT_RESTLESS;78;0;25;73;75;92
206;27;;NEGATIVE_LONG_BUT_RESTLESS;78;0;25;73;75;92
206;27;;NEGATIVE_LONG_BUT_RESTLESS;78;0;25;73;75;92
206;37;;POSITIVE_LONG_AND_DEEP;83;0;17;63;65;99
206;37;;POSITIVE_LONG_AND_DEEP;83;0;17;63;65;99
206;37;;POSITIVE_LONG_AND_DEEP;83;0;17;63;65;99
206;37;;POSITIVE_LONG_AND_DEEP;83;0;17;63;65;99
206;22;;NEGATIVE_LONG_BUT_DISCONTINUOUS;75;0;34;78;61;99
206;22;;NEGATIVE_LONG_BUT_DISCONTINUOUS;75;0;34;78;61;99
206;22;;NEGATIVE_LONG_BUT_DISCONTINUOUS;75;0;34;78;61;99
206;22;;NEGATIVE_LONG_BUT_DISCONTINUOUS;75;0;34;78;61;99
206;27;;POSITIVE_LONG_AND_REFRESHING;88;0;19;73;68;99
206;27;;POSITIVE_LONG_AND_REFRESHING;88;0;19;73;68;99
206;27;;POSITIVE_LONG_AND_REFRESHING;88;0;19;73;68;99
206;27;;POSITIVE_LONG_AND_REFRESHING;88;0;19;73;68;99
206;23;;NEGATIVE_LONG_BUT_RESTLESS;72;0;26;77;62;87
206;23;;NEGATIVE_LONG_BUT_RESTLESS;72;0;26;77;62;87
206;23;;NEGATIVE_LONG_BUT_RESTLESS;72;0;26;77;62;87
206;23;;NEGATIVE_LONG_BUT_RESTLESS;72;0;26;77;62;87
206;22;;POSITIVE_LONG_AND_DEEP;83;0;37;78;62;99
206;22;;POSITIVE_LONG_AND_DEEP;83;0;37;78;62;99
206;22;;POSITIVE_LONG_AND_DEEP;83;0;37;78;62;99
206;22;;POSITIVE_LONG_AND_DEEP;83;0;37;78;62;99
206;38;;NEGATIVE_RESTLESS;68;0;9;62;57;94
206;38;;NEGATIVE_RESTLESS;68;0;9;62;57;94
206;38;;NEGATIVE_RESTLESS;68;0;9;62;57;94
206;38;;NEGATIVE_RESTLESS;68;0;9;62;57;94
206;26;;NEGATIVE_NOT_REFRESHING;66;0;6;74;62;61
206;26;;NEGATIVE_NOT_REFRESHING;66;0;6;74;62;61
206;26;;NEGATIVE_NOT_REFRESHING;66;0;6;74;62;61
206;26;;NEGATIVE_NOT_REFRESHING;66;0;6;74;62;61
206;20;;NEGATIVE_LONG_BUT_RESTLESS;82;0;34;80;72;97
206;20;;NEGATIVE_LONG_BUT_RESTLESS;82;0;34;80;72;97
206;20;;NEGATIVE_LONG_BUT_RESTLESS;82;0;34;80;72;97
206;32;;NEGATIVE_RESTLESS;69;0;15;68;60;93
206;24;;NEGATIVE_SHORT_AND_POOR_STRUCTURE;63;0;15;76;63;76
206;27;;NEGATIVE_RESTLESS;73;0;17;73;66;76
206;26;;POSITIVE_LONG_AND_CALM;78;0;21;74;65;70
206;31;;NEGATIVE_LONG_BUT_DISCONTINUOUS;70;0;22;69;64;95
206;25;;NEGATIVE_NOT_ENOUGH_REM;61;0;25;75;52;93
206;26;;NEGATIVE_NOT_ENOUGH_REM;56;0;22;74;57;81
206;27;;POSITIVE_LONG_AND_CONTINUOUS;83;0;29;73;66;98
206;24;;POSITIVE_RECOVERING;79;0;25;76;68;99
206;28;;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;72;0;18;72;67;72
206;25;;POSITIVE_LONG_AND_DEEP;88;0;26;75;80;95
206;37;;POSITIVE_CONTINUOUS;74;0;15;63;54;95
206;24;;NEGATIVE_LONG_BUT_DISCONTINUOUS;70;0;20;76;84;98
206;24;;POSITIVE_LONG_AND_DEEP;77;0;10;76;63;57
206;25;;NEGATIVE_DISCONTINUOUS;71;0;29;75;62;99
206;24;;POSITIVE_DEEP;74;0;28;76;79;98
206;44;;POSITIVE_DEEP;79;0;6;56;63;97
206;34;;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;39;0;5;66;38;33
206;23;;NEGATIVE_RESTLESS;74;0;25;77;80;94
206;17;;NEGATIVE_LONG_BUT_DISCONTINUOUS;67;0;38;83;71;99
206;19;;POSITIVE_DEEP;79;0;31;81;75;99
206;25;;POSITIVE_RECOVERING;80;0;25;75;65;99
206;24;;NEGATIVE_NOT_ENOUGH_REM;73;0;21;76;64;72
206;30;;NEGATIVE_RESTLESS;76;0;22;70;68;96
206;30;;POSITIVE_DEEP;70;0;18;70;77;90
206;25;;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;70;0;17;75;60;72
206;20;;NEGATIVE_POOR_STRUCTURE;50;0;24;80;76;92
206;25;;NEGATIVE_LONG_BUT_DISCONTINUOUS;53;0;24;75;63;96
206;25;;NEGATIVE_DISCONTINUOUS;62;0;15;75;87;95
206;35;;NEGATIVE_LONG_BUT_RESTLESS;73;0;18;65;56;83
206;20;;NEGATIVE_RESTLESS;71;0;41;80;58;96
206;21;;NEGATIVE_LONG_BUT_RESTLESS;78;0;37;79;55;98
206;0;;NEGATIVE_LONG_BUT_RESTLESS;75;0;24;68;72;97
197;0;GADGET GAMA BAJA;NEGATIVE_SHORT_AND_POOR_QUALITY;33;0;5;48;18;20
201;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_DISCONTINUOUS;63;0;26;79;73;98
209;0;GADGET GAMA BAJA;NEGATIVE_SHORT_AND_POOR_QUALITY;32;0;10;68;33;34
210;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_DISCONTINUOUS;78;0;28;78;86;99
216;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;54;0;13;75;52;61
161;0;GADGET GAMA BAJA;NEGATIVE_NOT_RESTORATIVE;44;0;5;59;38;43
181;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;80;0;16;69;52;82
184;0;GADGET GAMA BAJA;NEGATIVE_LIGHT;69;0;15;71;63;78
196;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_LIGHT;62;0;36;72;47;84
4;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_POOR_QUALITY;58;0;42;78;66;85
60;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;82;0;25;78;73;89
86;0;GADGET GAMA BAJA;POSITIVE_HIGHLY_RECOVERING;90;0;12;72;78;91
116;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;87;0;19;67;58;89
123;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;85;0;22;70;82;99
125;0;GADGET GAMA BAJA;POSITIVE_HIGHLY_RECOVERING;92;0;10;68;84;94
134;0;GADGET GAMA BAJA;POSITIVE_DEEP;78;0;24;78;75;93
144;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;82;0;13;78;77;90
152;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;79;0;25;71;57;96
154;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;85;0;21;71;68;87
222;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;71;0;13;67;70;86
232;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;86;0;14;80;82;86
237;0;GADGET GAMA BAJA;POSITIVE_DEEP;74;0;44;84;74;94
262;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_REFRESHING;86;0;24;80;68;88
297;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;73;0;14;65;47;72
299;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;77;0;14;61;49;68
300;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_POOR_QUALITY;54;0;5;75;82;71
304;0;GADGET GAMA BAJA;NEGATIVE_SHORT_AND_POOR_QUALITY;42;0;6;60;24;50
309;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_POOR_QUALITY;61;0;23;69;48;85
312;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;82;0;21;80;75;88
315;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;49;0;5;60;30;33
317;0;GADGET GAMA BAJA;POSITIVE_SHORT_BUT_DEEP;54;0;7;67;58;69
328;0;GADGET GAMA BAJA;POSITIVE_SHORT_BUT_RECOVERING;50;0;5;69;69;62
332;0;GADGET GAMA BAJA;POSITIVE_OPTIMAL_STRUCTURE;90;0;21;79;69;90
333;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;75;0;15;79;86;92
336;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;81;0;8;58;48;87
339;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;46;0;21;69;51;53
343;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_RECOVERING;82;0;28;80;75;98
345;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;55;0;5;64;38;38
361;75;BALANCED;NEGATIVE_LONG_BUT_POOR_QUALITY;57;78;29;79;81;80
390;0;GADGET GAMA BAJA;POSITIVE_RECOVERING;69;0;29;79;57;91
393;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;49;0;11;72;41;44
408;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_REFRESHING;81;0;20;69;65;82
410;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;84;0;29;80;61;87
419;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;86;0;23;78;73;96
421;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;71;0;27;70;49;78
425;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_REFRESHING;86;0;20;68;58;87
428;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;43;0;5;70;48;38
447;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;83;0;15;72;55;70
447;0;GADGET GAMA BAJA;POSITIVE_REFRESHING;74;0;17;70;52;72
441;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;71;0;29;79;65;92
428;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;70;0;8;71;46;57
425;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;84;0;19;71;54;73
421;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;84;0;37;78;75;76
419;0;GADGET GAMA BAJA;NEGATIVE_DISCONTINUOUS;72;0;26;76;60;85
410;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;78;0;49;80;49;93
408;0;GADGET GAMA BAJA;POSITIVE_RECOVERING;67;0;15;77;72;93
402;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;84;0;28;78;68;96
393;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;67;0;33;77;36;61
392;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;58;0;30;83;48;70
390;0;GADGET GAMA BAJA;NEGATIVE_RESTLESS;72;0;28;77;57;81
345;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;82;0;17;69;66;81
349;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;74;0;14;71;71;83
350;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;56;0;13;71;50;59
339;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;81;0;24;71;41;78
336;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_RESTORATIVE;41;0;8;68;43;50
332;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;72;0;32;79;55;89
328;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;85;0;5;63;84;82
317;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_REFRESHING;87;0;7;65;92;99
315;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_POOR_QUALITY;59;0;6;65;42;48
312;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;81;0;36;81;58;83
304;0;GADGET GAMA BAJA;POSITIVE_CONTINUOUS;71;0;6;63;41;47
300;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;66;0;18;79;76;83
299;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;82;0;25;77;58;76
297;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;77;0;14;82;78;78
237;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;62;0;37;80;45;99
262;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;66;0;36;84;63;88
216;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_DISCONTINUOUS;77;0;24;84;71;92
154;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_NOT_ENOUGH_REM;78;0;24;79;62;82
152;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;65;0;24;79;52;70
156;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;89;0;15;70;59;90
134;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_RECOVERING;85;0;26;76;69;99
125;0;GADGET GAMA BAJA;POSITIVE_CONTINUOUS;80;0;9;67;71;80
123;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_DEEP;85;0;18;74;78;96
116;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;73;0;17;72;57;69
86;0;GADGET GAMA BAJA;NEGATIVE_SHORT_AND_POOR_QUALITY;41;0;13;77;56;55
184;0;GADGET GAMA BAJA;NEGATIVE_NOT_ENOUGH_REM;70;0;16;74;64;75
191;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CALM;85;0;43;81;68;98
181;0;GADGET GAMA BAJA;POSITIVE_LONG_AND_CONTINUOUS;76;0;18;67;41;57
161;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;71;0;10;68;59;69
168;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;77;0;20;72;71;97
209;0;GADGET GAMA BAJA;NEGATIVE_LONG_BUT_RESTLESS;84;0;23;75;74;82
