seg,power,vo2,cad,la,rf,hr,sat
1756,100,1059.7,95,4.986,22.814,107.0,97
1757,100,1049.2,95,4.972,21.382,107.7,98
1758,100,1038.8,95,4.958,19.95,108.3,97
1759,100,1028.3,94,4.944,18.519,109.0,97
1760,100,1115.1,93,4.93,20.068,109.0,97
1761,100,1202,94,4.916,21.617,109.0,97
1762,100,1288.8,95,4.902,23.166,109.0,97
1763,100,1322.8,96,4.888,22.536,109.7,97
1764,100,1356.8,96,4.874,21.906,110.3,97
1765,100,1390.8,95,4.86,21.277,111.0,97
1766,100,1378.4,94,4.846,22.403,111.5,97
1767,100,1366.1,94,4.832,23.529,112.0,97
1768,100,1457.9,93,4.818,23.623,112.0,97
1769,100,1549.7,93,4.804,23.716,112.0,97
1770,100,1641.5,94,4.79,23.81,112.0,97
1771,100,1593,94,4.776,23.578,112.0,97
1772,100,1544.4,95,4.762,23.346,112.0,97
1773,100,1582,95,4.748,23.532,111.7,97
1774,100,1619.7,94,4.734,23.718,111.3,97
1775,100,1657.3,94,4.72,23.904,111.0,97
1776,100,1660.6,94,4.706,23.717,111.0,97
1777,100,1663.9,95,4.692,23.529,111.0,97
1778,100,1741.4,96,4.678,22.655,111.3,97
1779,100,1818.9,97,4.664,21.78,111.7,97
1780,100,1896.3,97,4.65,20.906,112.0,97
1781,100,1883,96,4.636,20.239,112.0,98
1782,100,1869.6,96,4.622,19.572,112.0,98
1783,100,1856.2,96,4.608,18.904,112.0,97
1784,100,1842.9,96,4.594,18.237,112.0,97
1785,100,1744.4,96,4.58,21.071,112.0,97
1786,100,1645.9,98,4.566,23.904,112.0,97
1787,100,1614.8,99,4.552,23.455,112.0,97
1788,100,1583.6,100,4.538,23.006,112.0,97
1789,100,1552.5,100,4.524,22.556,112.0,97
1790,100,1503.8,99,4.51,24.731,112.0,97
1791,100,1455.1,97,4.496,26.906,112.0,97
1792,100,1636.6,95,4.482,25.08,111.7,97
1793,100,1818.1,95,4.468,23.254,111.3,97
1794,100,1999.6,97,4.454,21.429,111.0,97
1795,100,1727.9,97,4.44,25.348,111.0,97
1796,100,1456.2,98,4.426,29.268,111.0,97
1797,100,1578.5,98,4.412,30.424,110.5,97
1798,100,1700.8,98,4.398,31.579,110.0,97
1799,100,2083.2,97,4.384,30.495,110.5,97
1800,100,2465.7,96,4.37,29.412,111.0,97
1801,100,2201.1,96,4.3695,28.219,111.5,97
1802,100,1936.6,95,4.369,27.027,112.0,97
1803,100,1853.8,96,4.3685,26.279,112.5,97
1804,100,1770.9,97,4.368,25.532,113.0,97
1805,100,1726.5,99,4.3675,25.755,112.7,97
1806,100,1682,101,4.367,25.978,112.3,97
1807,100,1637.6,102,4.3665,26.201,112.0,98
1808,100,1632,102,4.366,26.201,112.0,98
1809,100,1626.5,100,4.3655,26.201,112.0,98
1810,100,1788.6,97,4.365,25.446,112.5,97
1811,100,1950.7,97,4.3645,24.691,113.0,97
1812,100,1984.5,98,4.364,24.037,113.3,97
1813,100,2018.4,98,4.3635,23.382,113.7,98
1814,100,2052.2,98,4.363,22.727,114.0,97
1815,100,1794.9,99,4.3625,23.709,115.0,97
1816,100,1537.5,99,4.362,24.691,116.0,97
1817,100,1648.8,99,4.3615,25.195,115.7,97
1818,100,1760,101,4.361,25.698,115.3,97
1819,100,1871.3,101,4.3605,26.201,115.0,97
1820,100,1980.3,101,4.36,26.799,115.0,97
1821,100,2089.3,99,4.3595,27.397,115.0,98
1822,100,2007.5,97,4.359,28.262,115.0,98
1823,100,1925.8,96,4.3585,29.126,115.0,98
1824,100,1901.7,94,4.358,28.077,115.5,98
1825,100,1877.6,94,4.3575,27.027,116.0,98
1826,100,2537.3,96,4.357,35.572,116.0,98
1827,100,3197,97,4.3565,44.118,116.0,98
1828,100,2708,96,4.356,37.059,115.5,98
1829,100,2219,95,4.3555,30,115.0,98
1830,100,1975.8,95,4.355,26.711,114.7,98
1831,100,1732.6,96,4.3545,23.423,114.3,98
1832,100,1489.4,96,4.354,20.134,114.0,98
1833,100,1801.5,96,4.3535,22.779,114.5,97
1834,100,2113.6,96,4.353,25.424,115.0,97
1835,100,2243,96,4.3525,25.532,115.0,97
1836,100,2372.4,97,4.352,25.641,115.0,97
1837,100,2247.3,97,4.3515,25.866,114.7,97
1838,100,2122.2,96,4.351,26.091,114.3,97
1839,100,1997.2,98,4.3505,26.316,114.0,97
1840,100,1991.5,99,4.35,27.792,114.0,97
1841,100,1985.8,99,4.3495,29.268,114.0,97
1842,100,1961.2,98,4.349,37.037,114.0,97
1843,100,1978.9,97,4.3485,32.473,114.0,97
1844,100,1996.6,97,4.348,27.91,114.0,97
1845,100,2014.3,98,4.3475,23.346,114.0,97
1846,100,1968.6,99,4.347,25.891,114.0,97
1847,100,1922.9,99,4.3465,28.436,114.0,97
1848,100,1925,98,4.346,29.925,113.5,97
1849,100,1927,100,4.3455,31.414,113.0,97
1850,100,1926.8,100,4.345,30.935,112.5,97
1851,100,1926.5,99,4.3445,30.457,112.0,97
1852,100,2098.7,99,4.344,30.154,112.0,97
1853,100,2271,98,4.3435,29.851,112.0,97
1854,100,753.93,97,4.343,75.483,112.3,97
1855,100,1569,97,4.3425,51.826,112.7,97
